#ID,MAC,SSID,Frequency,Signal,Alt,Lon,Lat,Time
107,1c:b9:c4:95:ec:37,,36,-79.0,32.102955284348354,35.20967463745281,701.0612920207566,2017-12-03 09:03:53
108,1c:b9:c4:14:2c:3c,Ariel_University,52,-80.0,32.10302392651605,35.209959334447085,695.9571938168848,2017-12-03 08:51:11
109,1c:b9:c4:16:ee:9c,Ariel_University,36,-85.0,32.10259716125353,35.20992068942939,696.4473308693133,2017-12-03 09:08:45
110,ec:8c:a2:26:d2:c8,Ariel_University,11,-90.0,32.104776120091074,35.20916252861589,689.7256468399695,2017-12-03 08:38:49
111,1c:b9:c4:15:34:b8,Ariel_University,6,-92.0,32.10493191549645,35.21025667401684,692.7030958914264,2017-12-03 08:40:49
112,24:79:2a:ac:5b:d7,,36,-82.0,32.10444130085198,35.20944049214144,719.6999289639562,2017-12-03 08:45:24
113,1c:b9:c4:14:30:08,Ariel_University,1,-81.0,32.10498053414769,35.210559310397116,689.7064770867712,2017-12-03 08:40:43
114,ec:8c:a2:88:7b:87,,40,-76.0,32.103587203489745,35.207817343129406,690.5674501131717,2017-12-03 08:38:04
115,ec:8c:a2:09:0c:cc,Ariel_University,44,-80.0,32.10321891949164,35.2077603995489,690.8382411765818,2017-12-03 08:37:52
116,58:70:c6:fb:68:7a,YICarCam_fb687a,5,-88.0,32.104362677361316,35.20927746779735,692.9954485022049,2017-12-03 08:41:04
117,1c:b9:c4:15:fd:e8,IT-MNG,11,-82.0,32.1054937403403,35.21192701959897,691.4990491525514,2017-12-03 08:39:28
118,34:8f:27:20:89:b8,Ariel_University,6,-78.0,32.10429363368066,35.20924901889868,691.9977242511025,2017-12-03 08:50:13
119,1c:b9:c4:16:ee:98,Ariel_University,6,-73.0,32.102970431390666,35.21020348054192,695.4667675021609,2017-12-03 08:51:08
120,1c:b9:c4:15:ed:b8,IT-MNG,1,-82.0,32.10332952201547,35.20976489343931,702.1410008294166,2017-12-03 09:02:57
121,00:1a:dd:f4:ef:04,PEPWAVE_9481,1,-76.0,32.10589172379298,35.21023459417683,688.6002581566134,2017-12-03 08:39:01
122,1c:b9:c4:15:fd:ec,Ariel_University,40,-76.0,32.10533711925973,35.2118598855837,691.9964341016355,2017-12-03 08:39:34
123,1c:b9:c4:12:7c:c8,Ariel_University,11,-65.0,32.10302068122714,35.20878234019998,703.2120549582822,2017-12-03 08:45:54
124,1c:b9:c4:95:fd:47,,36,-87.0,32.10352215895307,35.20985602129289,706.3498349521443,2017-12-03 09:03:15
125,1c:b9:c4:15:36:9c,Ariel_University,36,-82.0,32.10507363838788,35.210893572413184,709.152221390088,2017-12-03 08:40:43
126,b2:6c:ac:a0:7b:55,magneto,52,-73.0,32.10467817424046,35.20981364636564,708.5120395177382,2017-12-03 08:40:55
127,a2:6c:ac:a0:18:29,artsim,6,-75.0,32.10304026,35.209172280000004,689.5,2017-12-03 08:58:13
128,1c:b9:c4:14:2b:88,Ariel_University,11,-72.0,32.10300675878594,35.209655666869004,700.0,2017-12-03 09:02:25
129,1c:b9:c4:12:90:b8,Ariel_University,11,-74.0,32.10273868844679,35.208875697484984,700.5570778881482,2017-12-03 08:45:51
130,fc:3f:db:9c:36:3d,DIRECT-5C-HP DeskJet 3630 series,6,-79.0,32.10206173176158,35.20947285980673,700.4320999806322,2017-12-03 08:46:13
131,1c:b9:c4:14:62:4c,Ariel_University,36,-74.0,32.10457102888188,35.209608501213296,692.8918490649098,2017-12-03 08:40:58
132,1c:b9:c4:16:cd:68,Ariel_University,11,-86.0,32.1044140461797,35.20788087493433,689.9496964638441,2017-12-03 08:38:22
133,b0:48:7a:a1:80:8c,Knoch,4,-86.0,32.10251814263996,35.20734901460898,698.9056862429085,2017-12-03 08:37:15
134,a0:ab:1b:60:b4:ca,036518749,8,-79.0,32.10220589,35.209548500000004,692.5,2017-12-03 08:51:01
